Species	Sample	Raw_abund	Rel_abund
species_187	S10_SRF	1	0.06035
species_187	S25_BML	1	0.0981354
species_187	S26_BML	2	0.22805
species_187	S26_SRF	1	0.0873362
species_188	S10_SRF	1	0.06035
species_189	S10_SRF	1	0.06035
species_19	S10_BML	6	0.357569
species_19	S10_SRF	6	0.3621
species_19	S25_SRF	1	0.0933707
species_190	S8_BML	1	0.0896861
species_191	S25_BML	1	0.0981354
species_192	S10_BML	1	0.0595948
species_192	S25_BML	1	0.0981354
species_193	S10_BML	16	0.953516
species_193	S10_SRF	1	0.06035
species_193	S25_BML	4	0.392542
species_193	S25_SRF	9	0.840336
species_193	S26_BML	2	0.22805
species_193	S26_SRF	6	0.524017
species_193	S8_BML	1	0.0896861
species_193	S8_SRF	3	0.403769
species_194	S26_SRF	1	0.0873362
species_195	S10_BML	6	0.357569
species_195	S25_BML	3	0.294406
species_195	S25_SRF	2	0.186741
species_195	S8_BML	2	0.179372
species_196	S25_BML	1	0.0981354
species_196	S25_SRF	1	0.0933707
species_196	S26_BML	1	0.114025
species_196	S26_SRF	2	0.174672
species_197	S26_SRF	2	0.174672
species_197	S8_SRF	1	0.13459
species_198	S10_BML	28	1.66865
species_198	S10_SRF	5	0.30175
species_198	S25_BML	10	0.981354
species_198	S25_SRF	23	2.14753
species_198	S26_BML	10	1.14025
species_198	S26_SRF	35	3.05677
species_198	S8_BML	18	1.61435
species_198	S8_SRF	18	2.42261
species_199	S25_SRF	1	0.0933707
species_199	S26_SRF	2	0.174672
species_2	S10_SRF	2	0.1207
species_20	S10_BML	2	0.11919
species_200	S25_SRF	2	0.186741
species_200	S26_SRF	5	0.436681
species_200	S8_BML	4	0.358744
species_200	S8_SRF	3	0.403769
species_201	S10_BML	3	0.178784
species_201	S10_SRF	1	0.06035
species_201	S25_SRF	1	0.0933707
species_201	S26_BML	2	0.22805
species_201	S26_SRF	1	0.0873362
species_202	S25_BML	1	0.0981354
species_203	S26_SRF	1	0.0873362
species_204	S26_SRF	1	0.0873362
species_205	S10_BML	2	0.11919
species_205	S10_SRF	2	0.1207
species_206	S10_BML	1	0.0595948
species_207	S10_BML	3	0.178784
species_207	S10_SRF	4	0.2414
species_208	S8_BML	1	0.0896861
species_208	S8_SRF	2	0.269179
species_209	S26_BML	1	0.114025
species_21	S10_BML	1	0.0595948
species_21	S10_SRF	1	0.06035
species_21	S26_SRF	2	0.174672
species_210	S26_BML	1	0.114025
